id,zipcode,population,income,rank
1,98177,"18,920","65,514","2,076"
2,98112,"20,480","59,693","3,074"
3,98199,"19,156","59,542","3,103"
4,98115,"43,567","58,475","3,273"
5,98136,"14,138","56,455","3,765"
6,98155,"33,914","55,863","3,903"
7,98117,"29,667","55,777","3,926"
8,98116,"20,826","54,563","4,250"
9,98166,"20,302","50,310","5,792"
10,98109,"16,018","49,531","6,115"
11,98119,"19,662","49,222","6,233"
12,98103,"41,971","49,044","6,298"
13,98126,"18,906","47,519","6,945"
14,98178,"21,860","47,461","6,983"
15,98198,"33,561","46,628","7,432"
16,98146,"25,574","46,321","7,583"
17,98118,"40,791","44,697","8,540"
18,98125,"34,994","42,400","9,966"
19,98107,"18,516","42,195","10,138"
20,98102,"19,424","41,850","10,457"
21,98133,"42,896","41,743","10,547"
22,98168,"30,198","41,097","11,067"
23,98106,"23,317","40,815","11,333"
24,98144,"24,913","40,693","11,448"
25,98188,"22,583","40,618","11,521"
26,98105,"38,963","40,246","11,899"
27,98108,"21,223","38,413","13,545"
28,98148,"9,519","37,411","14,479"
29,98121,"8,558","32,271","20,584"
30,98122,"28,790","32,085","20,853"
31,98134,636,"27,083","26,548"
32,98101,"9,010","26,995","26,650"
33,98104,"13,095","16,205","31,263"
34,98174,180,0,"31,889"
35,98154,1,0,"31,893"
36,98164,1,0,"31,894"